sentence,relation,head,head_offset,tail,tail_offset
"结果表明,不同类型的玉米种质资源中地方品种的粗脂肪、粗淀粉性状和自交系粗蛋白、赖氨酸性状具有更大的遗传多样性。",表现,玉米种质,10,粗脂肪、粗淀粉性状,22
"以抗旱系数和抗旱指数为主要评价指标,兼顾其稳产性和丰产性,表现优良的种质有:榕江刺红苞谷,罗甸桔黄苞谷,望谟黄苞谷,紫云尖嘴红包谷,望谟麻山红苞谷,紫云黄苞谷等。",表现,望谟黄苞谷,52,稳产性,21
"﻿玉米是中国重要的粮食作物,株高和穗位高更是玉米理想株型的重要指标,与产量密切相关,由多基因调控。",调控,多基因调控,43,株高,14
"结果表明,我国地方种质四平头和旅大红骨茎秆性状表型变异丰富;灌浆期玉米茎秆含水量比较稳定;玉米植株高度与茎节长度显著相关;玉米雌、雄穗节之间的节间数比较恒定;玉米茎秆含糖量与茎节长度、茎粗、果穗着生位置有关;有效降低穗位高度应从降低果穗着生节入手;类群茎秆特征鲜明:兰卡斯特茎节较少,瑞德茎秆较粗,PB茎秆较细,旅大红骨茎秆较粗、茎节较短,四平头植株较矮、茎秆含糖量较低、干物质含量较低;兰卡斯特×四平头和兰卡斯特×PB类群间存在较强的生物量及籽粒产量杂种优势;挖掘和利用茎节较长、穗位较低的玉米地方种质是我国宜机收玉米育种的技术途径。",表现,四平头,11,茎秆性状表型变异丰富,19
"单独调控玉米中的pf40或其同源基因并不能改变玉米的分蘖表型特征,玉米中的pf40或其同源基因的确切功能,尚待进一步研究。",表现,玉米,4,分蘖表型,26
"甜糯双隐自交系17HN98在穗长、穗行粒数、籽粒大小和减少秃尖长度方面表现较高的一般配合力相对效应,是具有较好鲜食玉米育种应用价值的甜糯双隐自交系。",表现,甜糯双隐自交系,0,较好鲜食玉米育种应用价值,53
"多元方差分析结果表明,导入大刍草优良品质基因对于改良玉米品系的粗纤维、粗脂肪、无氮浸出物和可消化总养分品质性状有显著的提高效应,粗蛋白含量无显著差异。",表现,改良玉米品系,24,粗纤维,31
"(5)今后在玉米理想株型育种方面,应适当降低其株高、以便进一步增加其种植密度、抗倒伏性及耐旱性;穗行数和千粒重是影响玉米高产最为重要的因素,在高产育种上应进一步改良增加其穗行数和千粒重;籽粒中粗淀粉含量和积累量较为快速的提高可能对其粗蛋白、粗脂肪及赖氨酸等品质性状的含量和积累量造成""碳稀释效应"",更好地协调玉米籽粒中各品质组分间关系是培育优质粮饲兼用或青贮玉米新品种的重要策略。",表现,籽粒,93,粗脂肪,120
"但不同基因型玉米之间存在一定的差异,先玉335的抗旱性最强,其次是良玉88号和辽单565,抗旱性最弱的是丹玉39号。",表现,丹玉39号,52,旱性最弱,46
"农艺性状调查结果表明,转基因株系的株高比对照株系高15.0~33.4cm,穗位高提高13.4~20.2cm,;穗长增加2.0~3.8cm,穗粒数增加10.2~22.8粒。",表现,转基因株系,11,株高,17
"采用B/S与C/S混合开发架构,构建玉米农艺性状数据采集系统(APP)和玉米农艺性状数据管理系统(Web),APP采用Android技术实现Web api与服务器间的通信,Web采用Entity Framework技术对数据库进行操作,为海量农艺性状采集数据集成管理提供一个高效、安全和稳定的平台。",方法,构建玉米农艺性状数据采集系统(APP),16,B/S与C/S混合开发架构,2
"﻿采用格列芬方法Ⅳ,对6个自交系所组配的15个杂交组合,8个穗部性状的配合力以及配合力之间的相关性进行了研究。",表现,穗部性状,30,配合力,35
"﻿胜玉317玉米新品种是富源县胜玉种业有限公司选育而成的适应性广、高产稳产、出籽率高、抗病抗逆性较强的杂交玉米新品种。2014年冬季在海南组配组合,在2015年的初级筛选试验中综合性状表现较突出。通过2015年在云南富源鉴选,2016年在贵州省参加预备试验,2017—2018年参加贵州省绿色通道西部组区域试验,2018年同步参加西部组生产试验,于2019年通过贵州省农作物品种审定委员会审定。该品种两年区试平均单产737.9kg·(667m2)-1,16个点次15增1减,增产点率93.75%,较对照增产12.92%。2018年生产试验平均单产710.62kg·(667m2)-1,比对照贵单8号增产3.09%,6个试点4增2减,增产点率66.7%。其品质分析结果为:容重747g·L-1,粗蛋白11.0%,粗脂肪5.0%,粗淀粉7.2%,赖氨酸0.35%。抗大斑病,高抗小斑病、锈病,中抗丝黑穗病、穗腐病、灰斑病。",表现,胜玉317,1,中抗丝黑穗病,400
"导入PEPC后,水稻净光合速率、气孔导度、胞间CO2浓度和PEPC酶活性均表现为增加,最突出的是其PEPC酶活性均成倍增加。",调控,PEPC,2,气孔导度,16
"﻿对3类不同耐铝性玉米自交系的盆栽试验表明,土壤酸胁迫对各类自交系形态发育和干物质积累均有不同程度的影响,尤以地上部干重、功能叶干重和穗位叶面积等性状受影响较大。",表现,自交系,11,干物质积累,38
0417×1025穗粗的遗传符合多基因遗传模型;单穗粒重和穗秃尖的遗传符合1对主基因+多基因遗传模型;百粒重的遗传符合2对主基因+多基因遗传模型。,方法,百粒重,51,2对主基因+多基因遗传模型,59
"﻿试验选用8份遗传差异较大的甜玉米自交系做杂交亲本,按Grifing方法Ⅰ遗传交配设计配制组合,研究甜玉米青穗产量性状的配合力效应。",表现,甜玉米自交系,14,青穗产量性状,53
"分析联创808在国家区域试验和生产试验中的产量表现及其农艺性状、抗倒性、耐密性、子粒品质和青贮的饲用品质,根据联创808的表现与选育过程的体会,对玉米商业育种的相关问题进行较为深入的探讨,特别是关于优点叠加育种法、杂种优势群划分的理解与利用、杂优模式的梳理总结等问题。",表现,联创808,2,抗倒性,32
"遗传效应预测值表明,铁7922、郑58是选育高淀粉品种的优良材料,同时说明以校正模型测定其含量结果准确、可靠。",表现,优良材料,28,含量,45
"通过品比、区域试验和生产试验,研究了蜜玉1号的植株性状、籽粒性状和品质以及该品种的栽培技术和制种要点。",表现,蜜玉1号,18,品质,33
"同一性状的标准差,在4个群体中以WMBCo在穗长、穗行数、穗重、穗粒重、百粒重、轴粗、轴重、株高性状变异丰富。",表现,WMBCo,16,穗粒重,32
"试验得出的玉米穗高系数的遗传模式和QTL,可为加快高产、耐密和抗倒伏育种进程及实现分子标记辅助选择提供有力的研究基础。",方法,玉米穗高系数的遗传模式和QTL,5,高产,25
"﻿沈151是沈阳市农业科学院新选育的优良玉米自交系,它具有自身产量高、综合抗性强、农艺性状优良、一般配合力高等优点,2003年已申请国家品种保护。",表现,沈151,1,综合抗性强,35
"结果表明,供试玉米自交系间各穗粒性状均存在显著差异,除籽粒密度外均存在较大变异系数;采用欧氏距离法进行聚类分析将211个供试玉米自交系分为7个类群,穗长、穗粗、行粒数和粒长均以类群G6最高,粒宽和百粒重均以类群G5最高;‘郑单958’和‘先玉335’两大杂交种的4个亲本自交系所属类群相比,3个类群分别有单个或多个自交系多个性状较优,可以为育种工作中穗粒性状的改良提供依据。",表现,G6,90,穗长,74
"﻿以3组同核异质不育系与3个共同恢复系,按NC遗传设计进行组配,在分析不育细胞质对主要产量因子的细胞质效应基础上,进一步研究玉米杂交种核遗传组成对产量性状不育细胞质效应的影响。",调控,核遗传组成,67,产量性状,73
穗长、穗粗、行粒数、百粒重、粒深、出籽率等性状的边际效应指数与产量边际效应指数呈显著正相关。,表现,穗长,0,边际效应指数,24
"﻿为了探讨玉米苗期性状及其杂种优势形成的遗传学基础,以强优势玉米(Zea maysL.)杂交种组合豫玉22及其重组近交系为基础材料,采用三重测交(triple testcross,TTC)遗传交配设计,组配了包含312个测交后代的TTC群体,通过复合区间作图法检测到了30个控制发芽后第4天的最长根长、苗高、初生根数、根干重及叶干重的QTLs,并且在第2、3和7染色体上存在4个同时控制不同苗期性状的QTL区域。",调控,QTL区域,200,初生根数,154
"选取中国玉米地方品种核心种质库的799份种质,采用多环境试验设计,在植株进入生殖生长期后调查抽雄期、吐丝期、抽雄-散粉间隔期以及散粉-吐丝间隔期等4个花期相关性状的表型观测值,计算其Shannon-Weaver多样性指数,并进行显著性检验,评价中国玉米地方品种资源在这4个花期相关性状上的整体多样性水平。",表现,玉米地方品种,4,花期,75
"品种选育和改良目标同时也转向以郑58和先玉335的双亲为主导类型。在国家区试或多省区试品种中涌现出一批与其类型相似的品种,但成功者不多。主要缺欠是综合抗性差、适应性不强、农艺性状有缺陷、果穗丰产性状不稳定,年度间表现差异大。",表现,先玉335,19,果穗丰产性状不稳定,95
"结果表明:对龙早群按S1和半同胞综合选择法进行轮回选择选育出15份田间接种发病达到高抗水平的材料;利用复合杂交技术在接种鉴定条件下,通过自交、回交等方法选育出6份高抗丝黑穗病、高配合力、优质、农艺性状优良的玉米自交系;通过试验筛选出3个可以用于对玉米种质进行抗丝黑穗病种质鉴定的分子标记引物,即umc1386、umc1525和umc2077。",方法,复合杂交技术,51,农艺性状优良,96
"﻿综述了低温冷害对玉米发芽及幼苗期生长、生理生化的影响,揭示了玉米抗冷性遗传机制及与抗冷性有关的基因,玉米抗冷性的遗传分析以及有关基因的克隆和遗传转化的研究结果表明玉米的抗寒性是由多基因控制的数量性状,利用品种改良和生物技术能有效地提高玉米的抗寒性。",调控,多基因控制,90,数量性状,96
"结果表明:组合间各性状的GCA和SCA差异显著;综合植株性状和产量表现,5个供试的CIMMYT材料以铁2805利用潜力最高,其次为铁2812。",表现,铁2805,50,性状,9
"以两个玉米自交系郑58(Z58)和B73为对照,对从甲基磺酸乙酯(ethyl methanesulphonate,EMS)处理后的不同玉米诱变群体中筛选到的2株黄叶突变体yl-1(yellow leaf-1,Z58背景)、yl-2(yellow leaf-2,B73背景)以及从玉米自交系Z58中发现的1株自然黄叶突变体yl-3(yellow leaf-3)等3个表型相似的玉米黄叶突变体的形态特征、光合色素含量、叶绿素合成前体物质含量进行了比较研究。",表现,玉米黄叶突变体,187,形态特征,195
"﻿通过对五个玉米杂交种及其亲本的株高、穗位高、第三节间茎粗、雄穗长度、雄穗分枝数、叶向值、叶夹角和叶面积等八个株型相关性状的分析,结果表明:在不同杂交种之间,八个性状均存在显著或极显著差异;在不同自交系之间,八个性状均存在极显著差异。",表现,五个玉米杂交种,4,第三节间茎粗,23
"提出甜玉米产业的发展要点及相应对策:⑴引进耐寒、耐热、多抗、优质的甜玉米种质资源及基础材料的创建工作,综合应用分子生物学、生物信息学等手段,深入研究甜度、果皮厚度等品质密切相关性状的遗传与生理生化调控机理,探讨品质相关代谢物在代谢网络之间的关系。",表现,甜玉米,2,多抗,27
"石蜡切片显示dek54淀粉胚乳细胞形状不规则且排列致密,扫描电镜观察成熟籽粒胚乳中心区域发现dek54淀粉粒周围蛋白体比野生型少且排列疏松。",表现,淀粉粒周围蛋白体,51,野生型少且排列疏松,60
"﻿为探讨玉米杂种优势形成的分子机理,选用了8个玉米自交系和它们的5个杂交种,采用mRNA差异显示技术分析了杂种和亲本之间抽穗期叶片的基因表达差异模式。",表现,叶片,63,抽穗期,60
"以其做母本已选配出玉米单交种四单105、吉单198和吉单196,在吉林、黑龙江两省玉米生产上应用面积较大,表现出熟期适中、高产、稳产、高抗、米质较好等优点,四单105是上世纪90年代中后期生产上主推品种之一,吉单198、吉单196在近期内市场前景极为广阔。",表现,四单105,14,高抗,67
"﻿研究利用7个玉米自交系,采用NC-Ⅱ设计,分析了玉米苗期根系性状对氮胁迫反应的配合力及遗传参数变化。",方法,苗期根系性状,27,配合力,40
"研究表明,通过大规模回交导入并对后代进行严格的表型鉴定和筛选,是发掘种质中耐旱基因的有效途径,可以明显地提高玉米回交导入后代群体的耐旱性。",表现,种质,34,回交,10
"浙江省鲜食玉米品种对主要病虫害的抗性水平较低,但有逐步提高的趋势,综合抗性水平也在不断增强。",表现,鲜食玉米,3,逐步提高的趋势,25
"相关分析结果表明,春播玉米产量与穗长、每行粒数和出籽率呈显著或极显著正相关,而与秃顶长度呈极显著负相关;夏播玉米产量与株高、穗位高度、穗长、行粒数和千粒重呈显著或极显著正相关,而与秃顶长度也呈极显著负相关。",表现,夏播玉米,52,产量,13
"﻿利用农大高诱1号对玉米不同种质类群S1代进行单倍体诱导,结果表明:不同种质类群平均单倍体诱导率为3.2%,不同类群间存在显著差异,对Lancaster群授粉所产生的群单倍体诱导率最高为4.6%,比Reid、唐四平头和旅大红骨类群诱导率高,达到5%显著水平,对热导地方种质群最低为1.8%,达到1%极显著水平。",表现,Reid,99,诱导率,45
"结果表明,抽丝期、株高、茎粗、穗长和百粒重主要受加性基因效应影响,狭义遗传力高,适合早代选择;茎强度、穗粗、穗行数和行粒数受加性基因和非加性基因效应同等影响;而穗位高、穗重、穗粒重和出籽率主要受非加性基因效应影响,狭义遗传力低,宜晚代选择。",方法,茎强度,47,加性基因和非加性基因效应,62
继承了铁7922株型紧凑、秆强和沈5003矮秆、大粒的特点。,表现,铁7922,3,秆强,13
"根据上述指标,发现178、RP125、99S2052-1、99S2052-2、2396等8个自交系在两试验点都表现出较好的耐低磷特性;978-2、郑58、9508B等21个自交系在两试验点都表现出低磷敏感特性;4783411-1、LC995、01S43、0922-3、S28等17个自交系对低磷胁迫的反应不稳定。",表现,2396,39,耐低磷特性,61
"﻿选用两个半硬质胚乳奥帕克-2玉米群体(T34QPMC3和陕综5号/O-2C0)为试材,采用胚乳硬质度0、1、2、3、4五级分类法,在硬质梯度基础上,探讨了单株赖氨酸产量、籽粒物理性状、营养品质性状的简单相关、典型相关分析,提出了赖氨酸与奥帕克-2主基因及其修饰基因调控体系的关系。",表现,半硬质胚乳奥帕克-2玉米群体,5,单株赖氨酸产量,78
各根部性状之间相互协调是许178保持优势的关键。,表现,许178,12,根部性状,1
"﻿研究不同环境条件下玉米叶片保绿度性状的遗传主效应及其与环境互作效应;采用朱军提出的基因型×环境互作效应的加性-显性-母体效应遗传模型(ADM模型)分析方法;结果表明:玉米叶片保绿度的遗传除了受制于基因的加性效应(VA)、母体效应(VD)遗传主效应外,还会明显受到显性效应×环境互作效应(VDE)的影响。",表现,玉米叶片,10,保绿度性状,14
"﻿基于SSR聚类分析,对从不同玉米类群中筛选到的46份有突出优良性状的河南地方品种进行精细的表型重复鉴定,分析了抽雄天数、吐丝天数、株高、穗位、主茎叶片数、雄穗一级分枝数、穗长、穗粗、穗行数、千粒重、穗粒重、粒长、粒宽及粒厚14个数量性状的变异情况,株型、穗型、粒型、花药颜色、花丝颜色、粒色及轴色7个质量性状的变异情况。",表现,地方品种,37,千粒重,96
"通过对20个不同基因型材料的单倍体诱导结果表明,单倍体诱导率介于5.50%~15.94%,平均单倍体诱导率为10.40%,是Stock6的10倍;子粒Navajo标记性状明显、稳定,花粉量大、结实性好、抗病性强,是优良的单倍体诱导系。",表现,单倍体诱导系,110,标记性状,81
"结果表明:京农科728与和育187的粒收产量、机收籽粒破损率、籽粒含水量等机械化粒收相关性状最为合理,更利于直接进行机械化籽粒收获。",表现,育187,13,机收籽粒破损率,23
"﻿对10个杂交种及对应的5个自交系的植株形态性状以及产量进行了配合力、遗传力等遗传参数的研究,结果表明:全株叶夹角等7个性状主要受加性基因影响,保绿度等4个性状受加性效应、非加性效应同等影响;中部叶面积系数等则主要受非加性基因影响为主。",调控,加性基因,65,全株叶夹角,52
"玉米开花期,XD20和ZD958的LAI均随秸秆还田量的增加而增加,在S3处理下最高。",表现,ZD958,11,LAI均随秸秆还田量的增加而增加,17
"结果表明,多数性状在不同群体及不同轮回间存在真实的遗传差异,粒深遗传增益以GP4>GP5>GP3,穗行遗传增益以GP3>GP5>GP4,各个群体C4的粒深、穗行均值都显著或极显著大于C0,直接选择效应显著;株高和穗位高随选择周期增加呈明显增加趋势,且GP4的增幅显著大于GP3和GP5,单株产量及穗粗的遗传增益以GP4大于GP3和GP5,各群体多数产量性状的均值以C4显著大于C0,相关选择效应显著;除株高、穗位高外,其他性状GCA变异群体间差异达显著或极显著水平,GP5多数产量性状的GCA优于GP3和GP4,各群体多数产量性状的GCA效应值随改良进展呈增加趋势,对照优势大于8%的大部分测交组合均为各群体C4所配组合,间接选择效应显著;随改良世代进行,群体部分性状的表型变异系数虽有所减小,但变化幅度不大;基于SSR分子标记估算的群体内遗传相似系数,GP3和GP4改良后代呈略增趋势,GP5变化不大,对于群体基因型数,GP3和GP4随改良代数增加呈略减趋势,GP5呈略增趋势。",方法,穗行遗传增益,49,位高随,107
"丰乐742参加2013—2014年山西省春播中晚熟区域试验,平均产量为12941.5kg/hm2,比对照先玉335平均增产7.1%;2015年参加生产试验,平均产量为13177.5kg/hm2,比对照增产8.1%,且抗丝黑穗病、大斑病、茎腐病和穗腐病。",表现,丰乐742,0,穗腐病,122
"结果表明,在正常水分条件和开花期干旱胁迫条件下,分别有14个QTL与产量性状穗重、粒重、轴重、百粒重、穗数、穗粒数有关。",调控,QTL,30,轴重,44
"雄穗主轴长在正常环境下被检测到2个QTL位于第2和第6连锁群上,在干旱胁迫环境下被检测到了3个QTL分别于第2、4和10连锁群上,其中位于第2染色体上的QTL是两种环境下所共同检测到的QTL。",调控,QTL,17,雄穗主轴长,0
"测交试验表明,亲本闽4779、青2配合力高,性状互补性强,配成的闽青青贮1号高产、优质、适应性广、稳产性好,生物产量平均57532.5kg.hm-2,于2011年3月通过福建省农作物品种审定委员会审定。",表现,青2,15,配合力高,17
"结果表明:钾效率性状受多基因控制,存在加性、显性和互作现象,极耐与中等耐性基因型的遗传差异以负显性和加显互作为主;极耐与不耐基因型间所有效应均存在,而且有显性的正向互作现象;负显性效应和加性互作是钾低效的主要原因。",方法,显性的正向互作,77,极耐与不耐基因型,57
结果表明一般配合力高的玉米自交系是2321、212B、4H-1B3、5H-113和Y137。,表现,4H-1B3,27,一般配合力高,4
"Zm OPR5相对表达量与H2O2含量、MDA含量、Cd2+转移系数和Cd2+含量均呈高度正相关关系,在Cd耐性自交系B73根系中与上述性状的相关系数分别为0.778、0.879、0.893和0.822,已达显著或极显著水平,由此表明Zm OPR5可能参与了玉米由Cd胁迫引发的抗氧化胁迫反应过程。",表现,玉米,129,抗氧化胁迫反应,139
"结果表明,玉米穗总重性状在2个组合中均表现为以主基因遗传为主,2对加性-显性-上位性主基因+加性-显性-上位性多基因遗传。",调控,-显性,35,总重性状,8
"胁迫液为200mmol L–1NaCl和100mmol L–1Na2CO3,对照液为蒸馏水或霍格兰营养液,对盐、碱胁迫和自然条件下玉米的发芽率(GP)、株高(PH)、植株干、鲜重(FW、DW)、幼苗组织含水量(TWS)、植株地上部分钠含量(SNC)、钾含量(SKC)、钠/钾含量比(NKR)、苗期耐盐率(STR)、耐碱率(ATR)10项指标,采用3种不同的作图方法同时定位研究,对加性QTL定位采用复合区间作图法(CIM)和完备区间作图法(ICIM),对加性QTL与环境互作联合分析采用混合线性模型的复合区间作图法(MCIM)。",可视化,作图方法,178,完备区间作图法,212
"以优良玉米杂交种""农大108""的一套203个F2:3家系为材料,构建了包含189个SSR标记的遗传连锁图谱,在施氮(N+)和不施氮(N-)条件下,通过一年两点的田间试验,利用复合区间作图法对玉米穗长、穗粗、穗行数、行粒数、穗粒重和百粒重等6个穗部性状进行了QTL分析。",方法,行粒数,107,QTL分析,128
"结果表明,转基因玉米ZZM030对草铵膦和草甘膦具有良好的耐受性,对玉米田其他常用除草剂阿特拉津和烟嘧磺隆也具有良好的耐受性,不耐受玉米敏感型除草剂精喹禾灵和稀禾啶。",表现,ZZM030,10,具有良好的耐受性,24
"结果表明,测验系莫宜糯综合性状表现较好,尤其是在增加产量、穗行数及降低秃尖长度等方面有明显的作用;测验系天等糯在缩短生育期及增加株高、穗位高、穗长等方面有明显的作用;被测系JNF20-K、黄C都糯、N9大多数性状表现相对较好;鲜食糯玉米组合莫宜糯×JNF20-K是一个杂种优势强且其他各方面性状都优良的组合;天等糯×JNF20-K的综合性状表现最差,可利用价值不高;大多数农艺性状主要受加性基因效应影响,株高主要受非加性基因效应影响;糯玉米自交系选育时穗位高、穗长、穗粗、行粒数、小区产量等可以在早代选择,而出苗至吐丝天数、茎粗、穗行数、秃尖长度、籽粒深度最好在晚代选择。",表现,糯玉米自交系,217,穗长,71
"对产量的通径分析结果表明,春播组玉米的穗长、穗粗、秃顶长度、行粒数和千粒重的回归系数与0差异显著或极显著;夏播组玉米的株高、秃顶长度、穗行数、行粒数和千粒重的回归系数与0差异显著或极显著。",表现,夏播组玉米,53,株高,59
"﻿按Griffing双列杂交(Ⅳ)方法,分析了8个玉米自交系的株高、穗位高、叶片数、雄穗分枝数、茎粗和单株叶面积等与抗旱性相关的植株性状在雨养地和水分胁迫下的GCA、SCA及遗传变量。",方法,单株叶面积,51,遗传变量,87
"此外,适宜浓度COR处理显著提高玉米籽粒灌浆过程中淀粉合成相关酶AGPase、SSS、GBSS和SBE的活性,上调淀粉合成关键酶基因ZmSH1、ZmSH2、ZmWX1和ZmAE1的表达量,促进籽粒支链淀粉、直链淀粉和总淀粉的积累,提高了籽粒淀粉含量。",影响,COR,7,籽粒支链淀粉,96
"﻿以自育普通黑糯玉米自交系为受体,以美国普通黑玉米为供体,通过回交转育法,将美国普通黑玉米特殊黑色遗传性状导入自育普通黑糯玉米自交系中,选育出ch01至ch48等48种超级黑糯玉米自交系,并从已组配的600多个杂交组合中筛选出株型、抗性好,穗型、颜色好,穗行直、品质优、产量高的超级黑糯玉米杂交种黑玫瑰1号,比普通黑糯玉米具有更高的外观和内在营养品质,深受消费者喜爱。",表现,黑玫瑰1号,148,株型、抗性好,113
"通过对国内外有关研究成果进行综合分析后认为:①在高密度下,玉米植株个体问竞争小,雌雄穗发育协调,结实性好是耐密型品种增产的内在机制;②高密度下,株型紧奏、根茎强壮、抗倒,结实性好是进行耐密性选择的重要指示性状;③耐密性育种不应仅局限于株型选择,而应将耐密性作为一个具体育种目标,多个性状综合考虑;④高密度选择是创造耐密型玉米种质,选育耐密型品种的最有效途径。",影响,株型紧奏,72,耐密性选择,92
"﻿根据育种目标,选用非亲缘不同熟期的单交种、综合种及自交系作为育种材料,采取逐步导入法,实行多次重组,连续累积有利基因,提高目标性状植株频率,成功地培育出综合性状优良的特早熟自交系太早9502、太早9503、太早9504,育成特早熟杂交种春早单1号和春早单2号。",表现,春早单1号,119,特早熟,84
"﻿连续两年多项试验结果表明,FL1和FL2两个法国新品种,耐寒、耐旱、抗病、高产,适宜晋西北玉米春播特早熟区种植,比对照“冀承单3号”增产16.6%~18.1%,产量可达7000~7200kg/hm2;高产型种植密度78750株/hm2,优质高产型密度71250株/hm2;果穗颜色鲜亮,鲜食加工价值较高。",单位,种植密度,104,株/hm2,113
"结果表明,Zm C2H2-1属于C2H2锌指蛋白转录因子家族,编码蛋白主要位于细胞核中,酵母自激活实验表明Zm C2H2-1不具有自激活活性;干旱、盐和ABA等逆境可抑制Zm C2H2-1基因在玉米中的表达;过表达Zm C2H2-1基因的拟南芥叶片失水速率更快,在PEG、高盐和ABA处理条件下,与对照相比转Zm C2H2-1基因拟南芥耐逆性降低,以上结果说明Zm C2H2-1基因是作为玉米抗逆的负调控因子参与了逆境胁迫应答。",影响,干旱,71,Zm C2H2-1基因,85
"用13个普通玉米自交系,按NCⅡ设计(6×7)研究玉米籽粒品质性状的遗传效应,结果表明:粗淀粉含量不同程度地体现为种子、母体和细胞质效应,而母体遗传效应和种子直接效应占主导,细胞质效应相对较小,遗传效应以母体加性和胚乳直接加性为主,存在显著的正向母体杂种优势。",方法,粗淀粉含量,44,效应,36
"第Ⅵ类品种产量最高、穗型粗大、生育期最长,株型也最高大。",表现,第Ⅵ类品种,0,产量最高,5
"以96份广西主要玉米自交系为材料,通过两年一点两个水平的田间试验,鉴定玉米自交系在低氮和正常氮水平下的产量、吐丝期穗位叶SPAD值、低氮农学利用效率(LNAE)、株高、穗粒数、百粒重和ASI值等性状指标,分析它们之间的相关关系,计算遗传力等,对玉米自交系氮利用效率进行有效评价。",影响,低氮,41,株高,81
0410×1155单穗粒重和百粒重的遗传符合多基因遗传模型;穗粗的遗传符合1对主基因+多基因遗传模型;穗秃尖的遗传符合2对主基因+多基因遗传模型。,方法,穗粗,30,1对主基因+多基因遗传模型,37
"结果表明:在-N和+N条件下,亲本许178的5个时期叶绿素(SPAD)均值分别为54.12和55.76,比黄C分别高1.80和2.40;而F2:3家系的SPAD均值分别达55.6和58.32,高于双亲的中亲值;同时,在+N情况下,叶绿素含量变异范围相对较小,说明氮胁迫对玉米叶绿素含量的变化具有一定影响。",影响,+N,9,叶绿素含量,115
"通过品比、区域试验和生产试验,研究了蜜玉1号的植株性状、籽粒性状和品质以及该品种的栽培技术和制种要点。",表现,蜜玉1号,18,植株性状,23
"稳定性分析与区试、生产示范的实际情况吻合,充分表明成单16产量高,稳定性好,尤以耐旱性状突出,符合主推种性状要求。",表现,成单16,25,产量,29
"结果表明,叶绿素含量和净光合速率的抗旱指数与抗旱隶属度有真实的直线相关,可作为玉米抗旱性鉴定的评价指标,而气孔导度抗旱指数与抗旱隶属度没有真实的直线相关,用其进行玉米抗旱性鉴定的可靠性较差。",方法,气孔导度,53,抗旱指数,17
"通过总结前人对玉米抗旱性的大量研究,从形态结构、生理生化等角度阐述了抗旱性鉴定指标与玉米主要抗旱性状的遗传性,旨在为玉米抗旱性鉴定及抗旱育种提供一些有益的参考。",方法,抗旱性状,46,抗旱育种,66
"﻿为了研究玉米秃尖性状的遗传规律,选取典型的不秃尖自交系Lx9801、Lx00-1、Lx01-3和秃尖自交系Wx04-1、Wx04-2、掖502配制6×6完全双列杂交组合,采用加性-显性-母体效应遗传模型(ADM模型)对试验结果进行分析。",表现,Lx00-1,35,玉米秃尖性状,5
"本研究利用欧洲早熟种质硬粒种质UH004F和欧洲早熟Iodent种质UH004M改良黄旅群种质的机收特性,通过系谱法和回交转育法获得宜机械粒收黄旅群后代系,称之为""黄欧系""。通过对其农艺性状的观察研究,发现:(1)抽雄日数、吐丝日数和生育期缩短,表现出良好的早熟性;开花散粉至吐丝日数(ASI)增大;株高有增加趋势;穗位高有降低趋势;雄穗主支长有增加趋势;雄穗分支数在6~9个之间,与原有黄旅系相比互有增减;茎粗变细;穗位上节间长有增加趋势;田间倒伏(折)率大幅度降低,抗倒伏(折)能力进一步提高;穗长有增加趋势;穗行数略有减少的趋势;穗粗和轴粗均有下降趋势,其中轴粗下降趋势更加明显;籽粒长度有增加的趋势;在百粒重方面,除昌7-2后代系外,黄旅系后代系均有所降低;穗粒重有降低趋势;出籽率有增加趋势;籽粒含水量明显降低;(2)导入25%和50%比例的UH004F和UH004M的黄欧系在大多数性状上都有一定的变化趋势,主要表现在抽雄吐丝和生育期提早、ASI值增大、株高增高、穗位降低、雄穗主支长变长、雄穗分支数增加、茎粗变细、穗位上节间长拉长、抗倒伏(折)能力提高、穗长增加、穗行数减少、穗粗和轴粗降低、百粒重和穗粒",表现,黄欧系,82,穗位高有降低趋势,159
"﻿利用室内砂培试验,研究砷胁迫对33个不同基因型玉米生长发育的影响,探讨不同基因型玉米的耐砷性,以期降低砷通过食物链对人体健康的危害,为育种和环境治理提供依据。",方法,耐砷性,44,室内砂培试验,3
结果表明:形态和产量因子、生育期因子、穗行数因子、低产因子、脂肪含量因子、蛋白质含量因子和穗长因子这7个主要因子对变异的累积贡献率达83.149%。,方法,变异的累积贡献率,57,生育期因子,13
"﻿QN-51是利用不同生态区域的品种资源构建基础群体,再经过农艺性状选择、抗性鉴定,结合配合力测定,通过多代自交筛选实现优良性状聚合,从而培育出的优良糯玉米骨干自交系,具有自身制种产量高、品质好、配合力高、综合抗性强等特点。",表现,优良糯玉米骨干自交系,73,品质好,94
"结果表明,解禁美国自交系遗传基础丰富,不同杂交组合F1代产量平均相对离差21.96%,收获时与对照均值比较,子粒含水量较少,穗轴较细,穗位高较低。",表现,F1,25,穗轴较细,62
"﻿按Griffing双列杂交(Ⅳ)方法,分析了8个玉米自交系的穗长、秃尖长、穗粗、穗行数、行粒数、单穗重、单株产量和百粒重等与抗旱性相关的性状在雨养地和水分胁迫下的GCA、SCA及遗传变量。",方法,穗行数,41,GCA,82
